,nome_do_filme,linguagem,classificaçao_do_publico,tempo_de_execução,ano_de_lançamento,classificaçao_etária,enredo
12,Ekkees Tareekh Shubh Muhurat,Hindi,5.7,1 h 33 min,2018,All,"A 55-year-old man named Pandit Girdhari Laal Sharma wants to escape his family legacy of becoming a priest and become a storyteller instead. His dream comes true in an unexpected way, when he is jailed and he finds an audience amongst the prisoners."
13,Sealers: One Last Hunt,English,7.7,56min,2020,13+,Norwegian seal hunters get a last chance to go on a prohibited hunting practice. Watch the team brave the icy waters to catch the seals and see what made their hunting tradition so controversial.
14,Lonavala Bypass,Marathi,None,1 h 46 mins,2009,13+,"Lonavala Bypass Is A Marathi Suspense Thriller Movie Starring Sanjay Narvekar, Vijay Chavan And Kishore Nandlaskar In Lead Roles. The Lives Of Four Friends, Who Belong To Poor Backgrounds, Take A Drastic Turn After They Win A Lottery."
15,Project Almanac,English,6.4,1 h 46 min,2015,13+,"When five teens discover a machine that can send them back in time, the possibilities seem endless. But by changing the past, they have threatened the future of our world. Can they undo the damage they have unleashed before it’s too late?"
16,Nanna Prema,Telugu,None,2 h 23 min,2019,13+,A story about a father who tries to understand the struggles of his disabled daughter Paapa. The plot highlights the journey of how he becomes a better man while he comes to terms with his child and her special needs.
17,Ghost Stories,English,6.4,1 h 33 min,2018,18+,Skeptical professor Phillip Goodman embarks on a trip to the terrifying after being given a file with details of three unexplained cases of apparitions.
18,Basthi Mey Saval,Telugu,None,1 h 49 min,2002,NR,"Basthi Mey Saval is a 2002 Indian Telugu film, directed by Laxman and Produced by Surender Reddy. The film stars Ram- Laxman, Ramireddy, Sakunthala and Sithaara in lead roles."
19,Jaani Dushman: Ek Anokhi Kahani,Hindi,2.8,2 h 32 min,2002,13+,A shape-shifting snake exacts vengeance on a group of friends for a crime they did not even commit.
20,Devdas,Hindi,7.6,2 h 35 min,None,All,Devdas's childhood sweetheart is married off to a rich and powerful widower as Devdas's father opposes their alliance. Heartbroken Devdas then gives in to drinking and spends his numbered days in the arms of a prostitute named Chandramukhi.
21,Akashadoothu,Malayalam,7.4,2 h 13 min,1993,All,The film tells the tale of a widow suffering from leukemia.
22,Mera Pind: My Home,Punjabi,6.6,2 h 44 mins,2008,All,"An NRI moves to his native village to spread the message of empowerment among the youth. Under his support, Himmat, a young man leads the youth to contribute to the village's development."
23,City of football,Bengali,None,2min,2019,13+,"Here's a tribute to our city of joy, the hoichoi way! Presenting the 1st Chapter of Kolkata Minis : City of Football. Watch the video on Hoichoi!"
24,300: Rise of an Empire,Tamil,6.2,1 h 42 min,2014,18+,"This new chapter of the epic ""300"" saga takes the action to the sea, where Greek general Themistokles battles invading Persian forces led by Xerxes and the naval commander Artemisia."
25,Nana Mama,Marathi,5.8,2 h 19 mins,2006,All,"Nana, a taxi driver unknowingly helps DD, a notorious criminal. In order to return the favour, DD forces him to join his gang, but Mama, a smart police officer ruins his plan."
26,Hutututu Aavi Ramat Ni Rutu,Gujarati,7.2,2 h 13 min,2016,All,"Hu Tu Tu Tu is based on youth, relationships, ambitions, and the twists of destiny. A tale - never told before."
27,Uss Din,Hindi,7.4,11min,2010,18+,Two neighboring kids try to keep their game of cricket alive while their feuding families stock up on weapons.
28,Edge of Obedience,English,8.6,51min,2020,13+,"One of Malaysia’s foremost artists, Ahmad Zakii Anwar has never been shy of expressing political dissent through his paintings. The film explores the taboos in the countries related to artistic expression as experienced by Anwar."
29,Eye To Eye With Everest: Death On A Mountain,English,None,1 h 25 min,2019,13+,"While going on a brave expedition to ascend the Mount Everest, visually-impaired Thomas Weber asks two cameraman to follow him. As the journey goes on, the director and the cameraperson of this film find it hard to acclimatize. Going through accidents, and becoming a part of the well-known story of Australian climber Lincoln Hall, the trio create a historic adventure through their climb."
30,Megh-O-Roudra,Bengali,None,1 h 36 min,None,NR,A story when our nation was not independent and how the Britishers turned the law against the Indians for there needs. Even though the Indians were learned and educated still they were unable to fight against their injustice. the story also has a small back drop of a untold love story of a girl who had an urge of education.
31,Kanhaiya Ek Yodha (Hindi),Hindi,4.7,1 h 56 min,2019,13+,"Kanhaiya Ek Yodha is a Hindi Dubbed romantic action film. The local toughie is hired as a bodyguard to protect a girl from the rivals of her family and becomes a natural target for her enemies. In the process, he ends up falling in love with her."
32,Yajamana,Kannada,6.7,2 h 41 min,2019,13+,The film revolves around a hardworking man Krishna who lives in Hulidurga and is famous for traditional oil extraction. He is torn apart from being the rightful owner with the entry of business tycoon Devi Shetty. Will Krishna fight against all odds to bring justice to his people? Who will become the real `Yajamana` is what forms the crux of the story.
33,Sketch,Telugu,5.7,2 h 13 min,2018,13+,"Jeeva alias Sketch (Vikram) is a recovery man who tows back the vehicles whose EMI isn't paid. He falls in love with Ammu (Tamanna Bhatia) who goes against her parents' wish to marry him. Everything seems right when one of after the other, Sketch's friends keep getting killed. How Sketch get to know about what is happening makes the rest of the story."
34,Toonpur Ka Superrhero,Hindi,4.2,1 h 35 min,2010,NR,Toonpur ka Superhero is a comedy kids film directed by Kireet Khurana starring Ajay Devgan and Kajol in the lead roles. Aditya (Ajay Devgan) a film superstar and his wife Priya (Kajol) have achieved all the success that they had dreamt of. Their children would rather have a father who is a 'Real life' hero than a reel life hero. Aditya wants to redeem himself in the eyes of his children when ...
35,Pinky Mogewali,Punjabi,3.7,2 h 14 mins,2012,13+,"After the loss of her mother, Pinky earns for her father's illusive love. She gets herself kidnapped by a gang of crooks, just to get his attention."
36,Ong-Bak: Muay Thai Warrior,English,7.2,1 h 40 min,2005,16+,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it"
37,Murder,Telugu,None,1 h 50 min,2020,13+,"Madhava Rao is a man of principles and holds a respectable position in his hometown. He and his wife, Vanaja raise their only daughter Namrata quite well and select a good match. This is the time, Namrata shocks her parents by marrying a guy called Praveen. This angers Madhava Rao big time and he plots to kill Praveen. What did he do and what kind of sequences he faced forms the story."
38,Great Sardaar,Punjabi,5.2,1 h 48 mins,2017,13+,"Three men rise up to take revenge on the people responsible for murdering the Great Sardar, who was the people's saviour, and leaving their motherly aunt bereft of her husband."
39,Kharij,Bengali,None,1 h 30 min,2019,13+,মৃণাল সেনের এই ছবির কেন্দ্রে রয়েছে একটি মধ্যবিত্ত পরিবারে ভৃত্য হিসেবে নিযুক্ত এক শিশুর রহস্যজনক মৃত্যু।
40,Open Water,English,5.7,1 h 19 min,2004,18+,"Dan and Susan are ecstatic to finally be on their much anticipated tropical holiday in the Caribbean. However, after a mistake by their boat staff the pair are left alone in the middle of the ocean, and their ordeal soon becomes a full blown nightmare when sharks start to appear. Inspired by a true story."
41,Prema Kama,Kannada,5.9,1 h 38 min,1978,NR,"Prema Kama is an Indian Kannada film directed and produced by V R K Prasad. The film stars Devadas, Chayapathi, Rekha Rao, G V Iyer and Jyothsna Rao in the lead roles. Music of the film was composed by Yoganarasimha"
42,Jhankaar Beats,Hindi,7.2,2 h 11 min,2003,18+,"Juggling personal predicaments and workplace woes, three buddies and band-mates practice for their ultimate dream: winning a coveted music competition."
43,Volcano Returns,Hindi,None,1 h 24 min,2014,NR,"When a former Special Ops Commando visits Pompeii, his wife and daughter are trapped as Mt. Vesuvius erupts with massive force. While his family fights to survive the deadly onslaught of heat and lava, he enlists his former teammates in a daring operation beneath the ruins of Pompeii."
44,Law Abiding Citizen,Tamil,7.4,1 h 44 min,2009,18+,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.
45,Sei To Abar Kache Ele,Bengali,None,2 h 18 min,2017,13+,A 90’s film about the love story of Animesh and Sita. What happens when Sita’s evil twin tries to ruin the relationship?
46,48 Hrs.,English,6.9,1 h 36 min,1982,18+,"Nolte is a roughedged cop after two vicious cop-killers. He can’t do it without the help of smooth Murphy, who is serving time for a half-million dollar robbery."
47,K.G.F: Chapter 1 (Malayalam),Malayalam,8.2,2 h 34 min,2018,13+,KGF Chapter 1 is a film based on the gold mines that represents absolute power. The film is based on power struggle to rule these fields which eventually becomes one man’s destiny and his final destination.
48,Stronger (2017),English,6.9,1 h 59 min,2017,18+,Jake Gyllenhaal stars in the inspiring true story of the real life 2013 Boston Marathon bombing survivor Jeff Bauman.
49,Teen Cup Chaa,Bengali,5.7,47min,2018,13+,"Three different stories blended in a single movie, are brewed and connected by the exemplary Bengali beverage, Chaa."
50,Ramgarh Ke Sholay,Hindi,4.8,2 h 4 min,1991,All,"Ramgarh Ke Sholay Is Action Comedy Hindi Movie, Directed By Ajit Dewani, Starring Amjad Khan, Johnny Lever, Kishore Bhanushali And Vijay Saxena In The Lead Roles. The Film Parodies The Classic Bollywood Blockbuster Sholay. Chaos Ensues After Impostors Of Prominent Actors Turn Up To Save Jaiwanti And Other Villagers From The Terror Of Gabbar And His Henchmen Lamba And Goriya."
51,Parampara,Hindi,5.7,2 h 28 min,1993,13+,"Friends Pratap and Ranvir eventually discover that there is an old score to be settled between their families. Unfortunately, this can only be settled when they face each other in a deadly duel."
52,Manmatha Raja,Kannada,5.1,2 h 9 min,1989,NR,"Manmatha Raja is a 1989 Indian Kannada film, directed by Om Saiprakash and produced by J Devadas Reddy. The film stars Kashinath, Sudharani, Jaggesh, Omganesh, Srinivasamurthy, Lohithashwa, Mysore Lokesh, Aravind, Sadashiva Brahmavar and Dingri Nagaraj in lead roles. The film had musical score Chakravarthy."
53,Badal,Hindi,4.9,2 h 15 min,None,NR,Badal is on a mission to overthrow the tyrant rule in the kingdom; however what he doesn’t know is that his past is connected to the royals!
54,Sahara,Hindi,6,2 h 15 min,None,NR,"Sahara is a 1958 Indian Hindi film, directed by Lekhraj Bhakri. The film stars Meena Kumari, Manoj Kumar and Daisy Irani in lead roles. The film had musical score by Hemant Kumar."
55,Jamalaye Jibanta Manush,Bengali,7.5,2 h 3 min,None,NR,"Siddheshwar is a young enthusiast of the village who works hard day and night for the benefit of the village. He is in love with Madhuri, the daughter of a businessman named Hari. Hari is an influential man of the village and despises Sidhu to the core. Sidhu and Madhuri decide to get married in secrecy however just before the conclusion of their wedding, Hari together with his gang, breaks ..."
56,Dash Mash Dash Diner Galpo,Bengali,5.7,1 h 54 min,2019,All,"The Last Refuge For Elderly Parents Abandoned By Their Children, Apanjan Is An Old Age Home. The Film Revolves Around The Lives Of Apanjans Inhabitants, And How Karma Finds Its Way To Teach Their Ungrateful Children An Important Life Lesson."
57,Bodhai Yeri Budhi Maari,Tamil,6.4,1 h 57 min,2019,13+,"Karthik is jubilant, as he is getting ready to marry his lady love. At his bachelor's party, he takes a drug, which is very powerful than cocaine. After that, there happened a big twist in his life. Meanwhile, a journalist is looking for the drug addicts to get an interesting article and at the same time, a corrupt cop searches for the drug peddlers. Whether he rescue or not in rest of the film."
58,Crack,Kannada,None,2 h 22 min,2017,NR,"Crack, a quirky, badass encounter specialist cop is transferred to Bengaluru to catch a serial killer. He investigates the murders across the state only to find out a personal link that might change his life forever."
59,Campus,Telugu,None,1 h 10 min,2000,NR,"Campus is a 2002 Indian Telugu film, directed by Dharma and produced by M-San. The film stars Venki, Rajdeep, Raja Shekhar and Enitha in lead roles. Music of the film was composed by Nawas."
60,Hare Kanch Ki Chooriyan,Hindi,6.5,2 h 27 min,None,NR,"Hare Kanch Ki Chooriyan is a 1967 Indian Hindi film, directed by Kishore Sahu and produced by Kishore Sahu. The film stars Vishwajeet, Naina Sahu, Shiv Kumar, Helen and Nazir Hussain in lead roles. The film had musical score by Shanker Jaikishan."
61,Pagadi Aattam,Tamil,5.7,2 h 2 min,2017,All,"Suriya is a spoiled brat who deceives girls in the name of romance. Kousalya is one of the victim who falls into his trap. One day, Suriya gets kidnapped and finds himself trapped in a wooden box akin to a coffin. Following Suriya's parents complaint, ACP Devendra Kumar (Rahman) takes up the case. What happens in course of investigation forms the rest of the story."
62,World War Z,Hindi,7,1 h 56 min,2013,13+,"World War Z is the fast-paced, pulse-pounding epic of the potential last days of the human race. Former United Nations employee Gerry Lane (Brad Pitt) is called in to help stop the pandemic that has spread around the world."
63,Joy of Data,English,6.9,59min,2016,13+,"This mind-expanding, high-tech documentary, hosted by mathematician Dr. Hannah Fry, reveals what data is and how it is captured, stored, shared, and analyzed. Fry tells the story of the engineers of the data age, people most of us have never heard of despite creating a technological and philosophical revolution. Modern society runs on data, making information the world's most valuable asset."
64,Faasle,Hindi,4.6,2 h 26 min,1985,16+,Vikram (Sunil Dutt) is a wealthy man and has brought up his motherless daughter Chandni (Farah) and son Sanjay (Farooq Shaikh) sacrificing his own personal happiness. When Vijay (Rohan Kapoor) comes into Chandni’s life - her father’s disapproval and her impending arranged marriage threatens the love between Chandni and Vijay. FAASLE is a story of everyone doing what they believe to be right.
65,Vasudev Balwant Phadke,Marathi,6.5,2 h 6 mins,2007,All,Vasudev Balwant Phadke's sacrifice rekindled the dying flames of the 1857 Uprising and he came to be worshipped as the foremost revolutionary of the nation. Watch the movie to find out how he fought against all odds.
66,Sakthivel,Tamil,None,2 h 29 min,1994,All,"Vijayakumar is an honest cop. On a punishment transfer as sub-inspector he goes to Karuvathur. There, the feud is lead by Rajeev and Ravichandran. Selva is the local youngster, falls in love with Kanaga, Vijayakumar's daughter. Vijayakumar tried to unite Rajeev and Ravichandran but Manjula, Vijayakumar's wife gets killed in the process. What happens next is the rest of the narration."
67,Angakkuri,Malayalam,None,2 h 22 min,1979,NR,"Angakkuri 1979 Indian Malayalam film, directed by Vijayanand and Produced by C. V. Hariharan. The film stars Jayan, Sukumaran, K. P. Ummer, Sankaradi, Seema, Jayabharathi, Pappu and Mala. in lead roles. The music of the film was composed by A. T. Ummer."
68,Thinkalaazhcha Nalla Divasam,Malayalam,7.2,1 h 59 min,1985,All,Two sons and their families get together to celebrate their mother's 60th birthday in their ancestral house. But problems develop when the younger son reveals his plan to sell the house for money and put the mother in an old age home.
69,Adhyan,Tamil,None,1 h 48 min,2015,All,"Abhimanyu is an NRI who lives in Japan. He wants to marry a girl who hails from Tamil Nadu. While he is in search of his girl friend, he meets Sakshi Agarwal through Facebook. On his way to Chennai, he got struck in a smuggling case. He comes across the taxi driver Maheshwaran, Police officer Jeyachandran and Gangster Jenish. What made them to come across? Forms the rest of the story."
70,Keechu Raallu,Telugu,None,2 h 3 min,2005,NR,"Keechu Raallu is a 2005 Indian Telugu film, directed by Vicky G. The film stars Payal Rohatgi, Farid Amiri, Daya Shankar Pandey and Nirmal Pandey in lead roles. The music of the film was composed by Bappi Lahari."
71,Uttara Dakshina,Kannada,None,2 h 25 min,1972,NR,"Uttara Dakshina is a 1972 Indian Kannada movie directed by Rajkishore and produced by Uma Sadashiv. The film stars Kalpana, Ramesh and Pandaribai in lead roles. Music of the film was composed by M Ranga Rao."
72,Punnami Rathri,Telugu,None,2 h 1 min,1985,NR,"Punnami Rathri is a 1985 Indian Telugu film, directed by P. Chandrasekhara Reddy and produced by VS Ranganatha Varma The film stars Bhanuchander, Pavithra, Narayana Reddy, Alias, Siddhartha and Silk Smitha in lead roles. The music of the film was composed by Raj-Koti."
73,Greenfingers,English,6.8,1 h 31 min,2001,18+,"Inmate Colin Briggs (Clive Owen) is introduced to gardening and when the thriving prison garden attracts the attention of flamboyant gardening expert, Georgina Woodhouse (Helen Mirren), she offers to sponsor the inmates in an upcoming flower show. At the Hampton Court Flower Show, Colin meets Georgina's daughter and a romance blooms."
74,Vitamin She,Gujarati,5.7,2 h 17 min,2017,13+,"Jigar is a very happy go lucky freedom lover guy. He has a little fear about love from his childhood. His friends convince him that he needs a girl (Vitamin She) in his life to make his life worth living. One day Jigar accidently meets Shruti and falls for her. After some time they both become lovers. Everything is glossy and colorful in their life. But after some months, their illusion breaks."
75,Mayer Aasirbad,Bengali,None,2 h 38 min,2017,13+,A 90’s Bengali movie about Madhu who visits the city. Will his mother’s blessings protect him and change his life?
76,Chaduranga,Kannada,6.1,2 h 18 min,1985,NR,"Chaduranga is a 1985 Indian Kannada film, directed by V Somashekar and produced by R Venkataraman. The film stars Ambarish, Ambika, Vajramani and Mukyamanthri Chandru in lead roles. Music of the film was composed by G K Venkatesh."
77,Mugavaree,Tamil,7.2,2 h 36 min,2000,All,"Sridhar (Ajith), an aspiring music director, has been struggling to get a foothold in the music industry for many years. He falls in love but is willing to put his relationship on a backburner for success."
78,Qatil,Hindi,6,2 h 20 min,1988,13+,"Kumar's father is a public prosecutor and a strong advocate of the death penalty. Kumar, who opposes his father's views, decides to teach his father a lesson by implicating himself in a murder case."
79,Noor Jahan,Bengali,5.3,2 h 22 min,2018,13+,A Bengali romantic film about the love story of Noor and Jahan that gets threatened by the brutality of politics.
80,Innuma Nambalai Namburanga,Tamil,None,2 h 10 min,2014,NR,"Innuma Nammala Namburanga is a 2014 Indian Tamil film, directed by S. R. Balaji and produced by Aniloops Production. The film stars Sudhagar, Thiruveni in lead roles."
81,Aftermath,English,5.7,1 h 33 min,2017,16+,"Roman, a construction foreman, loses his wife and daughter in a devastating plane crash. He blames the air traffic controller, Jake Bonanos, who also struggles with the guilt of his mistake."
82,Ranjha Refugee,Punjabi,5.5,2 h 2 mins,2018,All,"While a Punjabi man fights for the love of his life, he ends up learning about his long-lost brother who was raised by a Muslim family."
83,Jab Tak Hai Jaan,Hindi,6.7,2 h 56 min,2012,13+,"Samar (Shah Rukh Khan) meets Meera (Katrina Kaif) in London & they fall in love. Samar however meets with a serious accident & Meera vows to God to leave Samar, if He allowed him to live. Samar angered with God, becomes a bomb disposal chief in the Indian Army. Here he meets Akira (Anushka Sharma). Is Akira able to unravel the mysteries, does Samar win the battle, or does God surrender to his love?"
84,Vendetta (2015),English,None,1 h 30 min,2015,16+,"When his wife is killed, a detective goes to prison to seek vengeance. While inside, he discovers a secret that those in charge would kill to protect."
85,Partner,Hindi,5.7,2 h 22 min,2007,NR,"Prem likes to think that he knows all that there is to know about women. Growing up with six sisters made him more sensitive to the female psyche, and he's turned that skill into a successful career of helping other men in wooing the women of their dreams. One of his newest clients is Bhaskar, who has fallen in love with his wealthy boss, Priya. While helping Bhaskar, Prem develops feelings ..."
86,Daphne,English,6.1,1 h 27 min,2017,18+,Daphne' is the vibrant character portrait of a young woman on the threshold of a much-needed change.
87,Urumbukal Urangarilla,Malayalam,6.4,2 h 13 min,2015,13+,"A young man named Manoj approaches two thieves Kelu and Benny, to learn from them the art of theft. One day Manoj is caught and put in jail, where he reveals his true motives."
88,Neeharika,Malayalam,None,1 h 50 min,2014,NR,"Neeharika is a 2014 Indian Malayalam film, directed by Saji Vaikkom and produced by Joshy R Thomas. The film stars Amal Dev Raj, Manu and Anjana Nair in lead roles. The film had musical score by Kilmanoor Ramavarma."
89,Jayasimha,Kannada,7.1,2 h 21 min,1987,NR,"Jayasimha is a 1987 Indian Kannada film, directed by P. Vasu and produced by K C N Chandrashekhar and K C N Mohan. The film stars Vishnuvardhan, Mahalakshmi, Vajramuni and N S Rao in lead roles. Music of the film was composed by Vijay Anand."
90,Despicable Me,Hindi,7.6,1 h 34 min,2010,7+,"Vying to be ""World's Greatest Villain"", Gru and his crew of hilarious minions plot the crime of the century: steal the moon -- but he meets his match when three little girls steal his heart."
91,Mud,English,7.4,2 h 10 min,2012,16+,"Ellis and his friend Neckbone are two boys who meet Mud, a fugitive hiding out on an island in the Mississippi. Skeptical but intrigued by his fantastic scenarios, Ellis and Neckbone agree to help him. It isn’t long until Mud’s visions come true and their small town is besieged by bounty hunters."
92,Mere Yaar Ki Shaadi Hai,Hindi,5.3,2 h 39 min,2002,All,"Sanjay's (Uday Chopra) phone rings. Anjali (Sanjana) his childhood friend is getting married. Observing Sanjay’s reaction to this news, his flatmate Ria (Bipasha Basu) concludes that Sanjay is in love with her. Sanjay sets off on a noble mission - to break the wedding. He meets the groom to be Rohit (Jimmy Shergill) and sets off on his crusade of poisoning the family’s mind against Rohit."
93,Homefront,English,6.5,1 h 36 min,2013,18+,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord."
94,Gladiator,English,8.5,2 h 34 min,2000,18+,"When a Roman general (Russell Crowe) is betrayed and his family murdered by a corrupt prince, he comes to Rome as a gladiator to seek revenge."
95,Mantramugdha,Bengali,None,2 h 5 min,1977,NR,"Mantramugdha is a 1977 Indian Bengali film, directed by Arabinda Mukhopadhyay and produced by Raja Kapoor, Vinod Kapoor and R.N. Malhotra. The film stars Sabitri Chatterjee, Soumitra Chatterjee, Sumitra Mukherjee, Ranjit Mallick, Rabi Ghosh, Utpal Dutt in lead roles. The film has musical score by Hemanta Mukherjee."
96,De Dana Dan,Hindi,5.4,2 h 47 min,2009,NR,"Apart from love, Nitin and Ram everything else in their lives have zero luck, including their bank balance! But now their rich girlfriends, Anjali and Manpreet, demand that they earn enough money so that they could either elope or break up forever. Broke and desperate, Nitin and Ram need to make big money and fast! They come up with a masterplan to kidnap Moolchandji, the pet dog of a rich s ..."
97,Rockstar,Hindi,7.7,2 h 37 min,2011,NR,Rockstar is a Hindi romantic drama movie on a typical Delhi boy Janardhan (Ranbir Kapoor) who chases his dream to be a Rockstar. He falls in love with the most popular girl Heer (Nargis Fakhri) in Delhi University but it doesn't go so smoothly. Watch Rockstar to witness the journey of Janardhan from a heart broken boy to a popular Rockstar sensation who expresses his tragedy through his songs.
98,The Pursuit of Happyness,English,8,1 h 57 min,2006,All,"Will Smith stars in this moving tale inspired by the true story of Chris Gardner, a San Francisco salesman struggling to build a future for himself and his 5-year-old son Christopher (Jaden Smith)."
99,Baba Taraknath,Bengali,5.5,2 h 30 min,1977,All,"A complete mythological story based on a simple village life. Sudha a simple girl likes her childhood friend Amar, but they are from different economical background. Amar a rich boy fall in love with Sudha and after their marriage Amar died in an accident. The faith on Baba Taraknath helped Sudha to regain her husband from all obstacles."
100,Rajlakshmi O Srikanta,Bengali,6.2,2 h 12 min,2017,13+,"A Bengali film about Srikanta crossing paths with Pyaribai and discovers that she is his childhood love, Rajlakshmi."
101,Surya IPS,Telugu,6.9,2 h 23 min,1991,NR,"Surya IPS is a 1991 Indian Telugu film, directed by A. Kodandarami Reddy and produced by T. Subbarami Reddy. The film stars Venkatesh and Vijayashanti in lead roles. Music of the film was composed by Ilaiyaraaja."
102,Dil Jo Na Keh Saka,Hindi,5.4,2 h 5 min,2017,13+,"Dil Jo Na Keh Saka is a romantic drama that follows the story of two childhood friends, Jay and Siya, who end up going separate ways to follow their dreams. Eventually, they return to their hometown where they chance upon each other and soon discover that there is more to their relationship than just friendship."
103,Champion,Telugu,None,2 h 6 min,1992,NR,"Champion is a 1992 Indian Telugu film, directed by D V S Raju and produced by D.V.S. Raju. The film stars Vinod Kumar and Shobana in lead roles. Music of the film was composed by Koti."
104,Gatham (Kannada),Kannada,6.1,1 h 41 min,2020,18+,"Rishi and his girlfriend Adithi are on their way to visit Rishi's father and their car breaks down. A stranger offers them a stay at his house and as their stay extends, there are startling twists. What is Rishi's connection with the stranger, and how does he and his girlfriend come out of the weird situation is the story of Gatham."
105,Dirty Dancing,English,7,1 h 40 min,1987,13+,Patrick Swayze and Jennifer Grey star in this spirit-lifting story about a summer love affair between a naïve 17-year-old girl and a charismatic dance instructor at a Catskills hotel.
106,Gatham (Malayalam),Malayalam,6.1,1 h 41 min,2020,18+,"Rishi and his girlfriend Adithi are on their way to visit Rishi's father and their car breaks down. A stranger offers them a stay at his house and as their stay extends, there are startling twists. What is Rishi's connection with the stranger, and how does he and his girlfriend come out of the weird situation is the story of Gatham."
107,Ishhya,Marathi,5.5,1 h 59 mins,2006,All,"Vaibhav and Rasika, a happily married couple, get along despite their opposite natures. Their only conflict arises when Vaibhav wants children and Rasika refuses to get pregnant and ruin her figure. What follows is an unexpected turn of events!"
108,Ek Aur Ekk Gyaraah,Hindi,None,2 h 29 min,1981,NR,Its a fun masala romp with generous helpings of the recommended masala allowance. There is fiesty Hirni (Zarina Wahab) who wears backless cholis and sells liquor while her smoking hot boy-friend Jaamlia (Vinod Khanna) languishes in prison. Then there is the college-going Rekha (a very subdued Neetu Singh) whose attachment to Hamlet is exemplary -- she goes to bed with it! Her hair goes from ...
109,Universal Soldier: Day of Reckoning,Telugu,5,1 h 45 min,2012,18+,"John awakens from a coma to discover his wife and daughter were slaughtered in a brutal home invasion. Haunted by images of the attack, he vows to kill the man responsible: The fight pits John against Andrew Scott and an army of genetically enhanced warriors; meanwhile, he must contend with a UniSol in relentless pursuit."
